index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
27,Triennale,2007,Magistrale (non Unirsm),Stagista,6,Si,Illustrazione; Editoria,"Curiosità, viaggi, fotografia",7,No,,,No,
28,Triennale,2013,Non ho proseguito gli studi,Dipendente,9,Si,Illustrazione; grafica,"metodo, creatività e precisione",8,No,No,No,No,
29,Triennale,2015,Non ho proseguito gli studi,Dipendente,3,No,Fotografia; Scuola e formazione,"Infanzia, didattica, arte",3,No,,,No,
30,Triennale,2015,Magistrale (non Unirsm); Vorrei iscrivermi ad un corso magiatrale a settembre,Sto ancora studiando,,Attualmente non sto lavorando,Attualmente non sto lavorando; Altro,,8,No,No,No,No,
31,Triennale,2015,Non ho proseguito gli studi,Stagista,9,Si,Progettazione di interni; Architettura,"accuratezza, innovazione, personalizzare",9,No,,,No,
32,Triennale,2015,Magistrale (non Unirsm),Sto ancora studiando,,Attualmente non sto lavorando,Editoria; Attualmente non sto lavorando,,8,No,,,No,
33,Triennale,2015,Non ho proseguito gli studi,Consulente,5,Si,Design engineering; Product design,"Design, prodotto, consapevolezza",5,No,No,No,No,
34,Triennale,2015,Magistrale (unirsm),Studente,,Si,Video e multimedia; Interaction design,"Interdisciplinarità, animazione, comunicazione",10,No,No,No,No,
35,Triennale,2013,Non ho proseguito gli studi,Dipendente,,No,Marketing e Advertising; Fotografia,,9,,,,,
36,Triennale,2015,Corso di specializzazione,Studente e lavoratore,5,No,Fotografia; Interaction design,,8,No,No,No,No,
37,Triennale,2015,Non ho proseguito gli studi,Libero professionista,5,Si,Editoria; Fotografia,,10,Si,Si,Si,No,
38,Triennale,2015,Non ho proseguito gli studi,Libero professionista,7,Si,Marketing e Advertising; Sviluppo web e app,"Eventi, grafica, editoria,  web design",6,No,No,No,No,
39,Triennale,2015,Corso di specializzazione,Stagista,4,Si,Editoria; Sviluppo web e app,Progettazione siti web,5,No,No,No,No,
40,Triennale,2015,Non ho proseguito gli studi,Disoccupato,8,Attualmente non sto lavorando,Illustrazione; Fotografia,,7,No,No,No,No,
41,Triennale,2016,Non ho proseguito gli studi,Stagista,10,Si,Allestimento; Editoria,Creatività metodo equilibrio,10,No,No,No,No,
42,Triennale,2015,Non ho proseguito gli studi,Libero professionista,4,Si,Allestimento; Sviluppo web e app,,8,No,No,No,No,
43,Entrambe,2015,Corso di specializzazione,Sto ancora studiando,,Attualmente non sto lavorando,Scuola e formazione; Motion graphic,,4,No,No,No,No,
